
PCJI   14.80    1.000   P
PWJI   18.40    1.000   P
SWJI   24.80    1.000   P
PCJI   25.80    1.000   S
PWJI   32.00    1.000   S
SWJI   41.10    1.000   S

PCJI   33.20    1.000   P
PWJI   38.90    1.000   P
SWJI   42.50    1.000   P
UWJI   57.40    1.000   P
GRJI   58.20    1.000   P
PCJI   61.30    1.000   S
PWJI   66.90    1.000   S

PWJI   29.10    1.000   P
SWJI   33.20    1.000   P
PCJI   33.40    1.000   P

PCJI   14.50    1.000   P
PWJI   19.60    1.000   P
SWJI   23.10    1.000   P
PCJI   26.80    1.000   S
PWJI   34.80    1.000   S
SWJI   40.50    1.000   S

GMJI   21.20    1.000   P
PWJI   23.80    1.000   P
SWJI   27.80    1.000   P
PCJI   29.60    1.000   P
GMJI   36.00    1.000   S
PWJI   40.20    1.000   S

GMJI   20.40    1.000   P
PWJI   26.40    1.000   P
SWJI   32.00    1.000   P
GMJI   34.20    1.000   S
PWJI   48.80    1.000   S

GMJI   19.80    1.000   P
PWJI   26.50    1.000   P
SWJI   31.70    1.000   P
GMJI   33.90    1.000   S
PWJI   46.00    1.000   S

TBJI   25.30    1.000   P
BWJI   31.60    1.000   P
GRJI   32.80    1.000   P
SWJI   33.00    1.000   P
PCJI   36.40    1.000   P
PWJI   38.30    1.000   P
TBJI   45.60    1.000   S
GMJI   51.90    1.000   P
BWJI   57.10    1.000   S
GRJI   58.60    1.000   S

GMJI   17.10    1.000   P
PWJI   17.40    1.000   P
SWJI   21.00    1.000   P
PCJI   22.80    1.000   P
GRJI   29.50    1.000   P
GMJI   32.10    1.000   S
SWJI   38.10    1.000   S

PCJI   14.00    1.000   P
PWJI   18.20    1.000   P
SWJI   21.20    1.000   P
PCJI   24.70    1.000   S
PWJI   32.60    1.000   S
SWJI   37.50    1.000   S

PCJI   12.90    1.000   P
SWJI   19.40    1.000   P
PCJI   23.20    1.000   S
TBJI   33.20    1.000   P
GRJI   34.60    1.000   P
SWJI   35.40    1.000   S
BWJI   47.60    1.000   P

PCJI   10.90    1.000   P
PWJI   13.70    1.000   P
SWJI   17.60    1.000   P
PCJI   20.90    1.000   S
PWJI   25.80    1.000   S
SWJI   32.50    1.000   S

PCJI   13.00    1.000   P
PWJI   15.80    1.000   P
SWJI   19.70    1.000   P
PCJI   22.80    1.000   S
GRJI   34.60    1.000   P
SWJI   35.50    1.000   S

PCJI   12.30    1.000   P
PWJI   16.30    1.000   P
SWJI   19.70    1.000   P
PCJI   21.90    1.000   S
PWJI   28.20    1.000   S

PCJI   16.50    1.000   P
PWJI   24.00    1.000   P
SWJI   26.70    1.000   P
PCJI   28.90    1.000   S
PWJI   42.80    1.000   S
SWJI   47.50    1.000   S

PWJI   24.00    1.000   P
SWJI   24.40    1.000   P
PCJI   27.20    1.000   P
GRJI   27.70    1.000   P
TBJI   27.90    1.000   P
GMJI   30.70    1.000   P
BWJI   40.00    1.000   P
PWJI   43.30    1.000   S
PCJI   48.50    1.000   S
GRJI   50.60    1.000   S
GMJI   55.30    1.000   S

PWJI   15.10    1.000   P
PCJI   16.30    1.000   P
SWJI   18.60    1.000   P
PWJI   26.00    1.000   S
PCJI   27.90    1.000   S
GMJI   29.20    1.000   P
SWJI   32.50    1.000   S
GMJI   51.80    1.000   S
GRJI   53.90    1.000   P

GMJI   21.40    1.000   P
PWJI   27.10    1.000   P
GMJI   37.10    1.000   S
PWJI   48.70    1.000   S

GMJI   14.20    1.000   P
PWJI   16.50    1.000   P
GRJI   20.20    1.000   P
PCJI   26.20    1.000   P
PWJI   30.10    1.000   S

PCJI   15.00    1.000   P
PWJI   18.50    1.000   P
SWJI   23.00    1.000   P
PCJI   26.70    1.000   S
PWJI   33.00    1.000   S

PCJI   16.70    1.000   P
PWJI   23.90    1.000   P
SWJI   28.20    1.000   P
PCJI   30.10    1.000   S
PWJI   42.10    1.000   S
GRJI   44.60    1.000   P

PWJI   25.00    1.000   P
PCJI   28.90    1.000   P
SWJI   31.50    1.000   P
GMJI   31.60    1.000   P
GRJI   43.30    1.000   P
PWJI   44.70    1.000   S
PCJI   51.20    1.000   S
BWJI   57.20    1.000   P
SWJI   57.50    1.000   S
GMJI   58.10    1.000   S
GRJI   77.70    1.000   S
TBJI   80.10    1.000   P
BWJI   103.80    1.000   S

GMJI   45.20    1.000   P
PWJI   47.00    1.000   P
PCJI   48.30    1.000   P
SWJI   50.70    1.000   P
GMJI   79.80    1.000   S
PWJI   85.50    1.000   S
PCJI   87.10    1.000   S
SWJI   95.00    1.000   S
GRJI   113.10    1.000   P

PCJI   13.90    1.000   P
PWJI   23.60    1.000   P
SWJI   23.80    1.000   P
PCJI   24.20    1.000   S
TBJI   30.50    1.000   P
SWJI   41.20    1.000   S
PWJI   42.10    1.000   S
TBJI   53.90    1.000   S
GRJI   65.00    1.000   P

PCJI   11.40    1.000   P
PWJI   14.50    1.000   P
SWJI   19.00    1.000   P
PCJI   21.30    1.000   S
PWJI   25.50    1.000   S
SWJI   33.30    1.000   S

PCJI   14.50    1.000   P
PWJI   14.60    1.000   P
SWJI   16.80    1.000   P
SWJI   29.80    1.000   S

GMJI   20.80    1.000   P
PWJI   22.20    1.000   P
GMJI   36.90    1.000   S

PCJI   19.00    1.000   P
PWJI   26.50    1.000   P
